image_idx,entropy_mae,entropy_max_diff,entropy_rmse,edge_mae,edge_max_diff,edge_rmse,entropy_mae_nostrip,entropy_max_diff_nostrip,edge_mae_nostrip,edge_max_diff_nostrip,depth_mae,pct_pixels_differ,n_pixels,depth_diff_histogram,mean_cover_depth,mean_stego_depth,depth_mae_noise_0.001,pct_differ_noise_0.001,depth_mae_noise_0.005,pct_differ_noise_0.005,depth_mae_noise_0.01,pct_differ_noise_0.01,bpp
3,0.0,0.0,0.0,0.0,0.0,0.0,0.006649568121675009,0.23226351035421466,0.00011946188682224591,0.004171756506906307,0.0,0.0,65536,{0: 65536},1.262115478515625,1.262115478515625,0.0044403076171875,0.44403076171875,0.0078125,0.78125,0.0117950439453125,1.17950439453125,0.2
4,0.0,0.0,0.0,0.0,0.0,0.0,0.006327848765002352,0.2163424500131157,0.00011805567349370516,0.004819778185449652,0.0,0.0,65536,{0: 65536},1.2563934326171875,1.2563934326171875,0.0070953369140625,0.70953369140625,0.013580322265625,1.3580322265625,0.018890380859375,1.8890380859375,0.2
5,0.0,0.0,0.0,0.0,0.0,0.0,0.006921669139897406,0.19142677289358323,0.00011610269674444737,0.004669199904831622,0.0,0.0,65536,{0: 65536},1.3100433349609375,1.3100433349609375,0.0067901611328125,0.67901611328125,0.0126495361328125,1.26495361328125,0.018157958984375,1.8157958984375,0.2
6,0.0,0.0,0.0,0.0,0.0,0.0,0.005994461130498106,0.21213275808050036,0.00011728286651096669,0.0034156878280926263,0.0,0.0,65536,{0: 65536},1.2547607421875,1.2547607421875,0.006805419921875,0.6805419921875,0.009368896484375,0.9368896484375,0.0135955810546875,1.35955810546875,0.2
7,0.0,0.0,0.0,0.0,0.0,0.0,0.006767483174096196,0.17985528555728436,0.00013514778264881217,0.0048640654178893905,0.0,0.0,65536,{0: 65536},1.3933868408203125,1.3933868408203125,0.01593017578125,1.593017578125,0.020721435546875,2.0721435546875,0.027313232421875,2.7313232421875,0.2
8,0.0,0.0,0.0,0.0,0.0,0.0,0.008057562263733926,0.3731585426416769,0.00011383688187462523,0.0041462695475617956,0.0,0.0,65536,{0: 65536},1.339691162109375,1.339691162109375,0.007232666015625,0.7232666015625,0.0102081298828125,1.02081298828125,0.01531982421875,1.531982421875,0.2
9,0.0,0.0,0.0,0.0,0.0,0.0,0.008829425312254332,0.20759862559919995,0.0001765574765549127,0.005251446119158669,0.0,0.0,65536,{0: 65536},1.29180908203125,1.29180908203125,0.0066070556640625,0.66070556640625,0.0128631591796875,1.28631591796875,0.0195465087890625,1.95465087890625,0.2
10,0.0,0.0,0.0,0.0,0.0,0.0,0.005745559065388486,0.1693795185781557,0.00013777134223112893,0.004236278504796687,0.0,0.0,65536,{0: 65536},1.447540283203125,1.447540283203125,0.013824462890625,1.3824462890625,0.01885986328125,1.885986328125,0.0255126953125,2.55126953125,0.2
11,0.0,0.0,0.0,0.0,0.0,0.0,0.006975394767221359,0.2121327580805017,0.00011344333766632142,0.003404397961863065,0.0,0.0,65536,{0: 65536},1.286956787109375,1.286956787109375,0.007049560546875,0.7049560546875,0.012664794921875,1.2664794921875,0.0190582275390625,1.90582275390625,0.2
12,0.0,0.0,0.0,0.0,0.0,0.0,0.006750452922870449,0.19444985965154782,0.00011586002521324094,0.0033250642057393726,0.0,0.0,65536,{0: 65536},1.323211669921875,1.323211669921875,0.00701904296875,0.701904296875,0.0119476318359375,1.19476318359375,0.0171356201171875,1.71356201171875,0.2
